application_id,customer_id,application_date,loan_amount,annual_income,debt_to_income_ratio,monthly_debt,credit_score,num_credit_inquiries,num_late_payments_30d,num_late_payments_60d,num_late_payments_90d,credit_line_age,loan_term,interest_rate,employment_status,loan_purpose,home_ownership,application_type,default_flag
APP-000032,CUST-000032,2024-09-05 15:34:02.317732,17015.44,118959.86,0.29,3809.65,757.56,4,0,3,0,191,46,3.63,Unemployed,Home improvement,Own,Individual,0
APP-000033,CUST-000033,2024-12-20 15:34:02.317748,10768.67,22649.4,0.18,805.86,668.2,9,1,3,2,65,35,5.01,Employed,Home improvement,Rent,Individual,1
APP-000034,CUST-000034,2024-11-17 15:34:02.317761,29214.04,138043.4,0.29,4719.06,409.08,9,5,1,0,178,31,13.2,Employed,Other,Own,Joint,1
APP-000035,CUST-000035,2024-05-22 15:34:02.317792,19157.97,85774.9,0.27,4277.96,752.28,1,3,2,2,228,41,11.49,Retired,Home improvement,Rent,Joint,1
APP-000036,CUST-000036,2024-06-26 15:34:02.317806,14151.38,130722.71,0.52,615.98,784.9,3,3,3,1,7,43,13.21,Self-employed,Education,Mortgage,Joint,1
APP-000037,CUST-000037,2024-11-02 15:34:02.317829,14703.27,97500.15,0.54,2867.8,584.14,3,0,1,2,104,43,9.66,Self-employed,Education,Other,Joint,1
APP-000038,CUST-000038,2025-03-09 15:34:02.317843,15417.54,72572.15,0.22,3387.01,502.96,8,4,2,1,190,47,6.97,Retired,Business,Rent,Joint,1
APP-000039,CUST-000039,2025-01-17 15:34:02.317856,16461.85,116574.54,0.58,3512.79,405.35,7,2,2,0,213,24,6.55,Unemployed,Home improvement,Rent,Individual,1
APP-000040,CUST-000040,2025-02-20 15:34:02.317886,14441.26,146658.34,0.38,3547.6,369.45,7,0,0,2,72,42,8.74,Unemployed,Home improvement,Own,Joint,0
APP-000041,CUST-000041,2024-08-24 15:34:02.317900,6590.27,28494.65,0.35,2969.7,677.55,2,1,2,0,63,19,9.7,Retired,Other,Mortgage,Joint,1
APP-000042,CUST-000042,2024-09-11 15:34:02.317913,15570.3,96508.27,0.31,2929.42,333.13,1,1,1,1,169,17,4.88,Self-employed,Other,Own,Individual,1
APP-000043,CUST-000043,2024-09-07 15:34:02.317925,34779.19,81088.62,0.12,1582.9,455.5,7,0,1,1,201,52,10.08,Self-employed,Education,Own,Individual,1
APP-000044,CUST-000044,2024-12-10 15:34:02.317944,41504.93,29283.28,0.18,1676.54,711.93,9,2,3,0,119,56,6.65,Retired,Business,Other,Joint,1
APP-000045,CUST-000045,2025-04-05 15:34:02.317961,44581.72,115489.41,0.4,324.15,425.91,10,4,0,2,210,29,9.91,Self-employed,Education,Other,Joint,1
APP-000046,CUST-000046,2024-06-30 15:34:02.317975,22358.36,125851.84,0.58,2456.05,524.59,5,5,0,0,84,38,11.32,Unemployed,Education,Own,Joint,1
APP-000047,CUST-000047,2024-12-17 15:34:02.317997,16840.42,146124.01,0.3,2670.06,843.47,10,4,3,1,13,24,9.22,Retired,Education,Own,Individual,1
APP-000048,CUST-000048,2025-02-17 15:34:02.318011,46455.97,76955.09,0.45,782.85,835.23,9,1,1,1,141,12,9.63,Employed,Home improvement,Own,Joint,0
APP-000049,CUST-000049,2024-05-29 15:34:02.318032,41775.02,84788.82,0.46,2642.59,450.38,7,3,1,1,141,21,7.6,Self-employed,Debt consolidation,Rent,Joint,1
APP-000050,CUST-000050,2024-08-09 15:34:02.318046,14091.46,20333.48,0.46,4219.88,618.96,10,3,1,1,137,42,7.14,Retired,Education,Rent,Individual,0
APP-000051,CUST-000051,2024-12-24 15:34:02.318062,29018.08,50363.12,0.49,409.51,709.59,6,3,1,1,9,20,9.03,Unemployed,Debt consolidation,Other,Individual,1
APP-000052,CUST-000052,2024-09-04 15:34:02.318078,1752.03,38740.2,0.54,4855.79,341.16,4,2,3,2,20,33,13.23,Retired,Business,Other,Individual,1
APP-000053,CUST-000053,2024-12-26 15:34:02.318101,31926.89,139720.78,0.6,3784.48,538.68,1,5,0,1,42,56,6.59,Employed,Debt consolidation,Rent,Individual,1
APP-000054,CUST-000054,2024-10-16 15:34:02.318120,22103.65,51745.67,0.31,3472.64,399.03,2,0,3,2,174,27,8.97,Self-employed,Home improvement,Other,Joint,1
APP-000055,CUST-000055,2024-05-19 15:34:02.318133,1460.47,124602.3,0.55,3452.53,386.89,7,2,2,2,108,56,6.0,Unemployed,Home improvement,Other,Joint,1
APP-000056,CUST-000056,2024-10-12 15:34:02.318146,29024.21,94725.55,0.6,1617.11,837.87,10,3,2,0,144,55,12.34,Employed,Other,Other,Joint,1
APP-000057,CUST-000057,2024-12-29 15:34:02.318161,30746.18,65801.72,0.42,3180.28,672.77,10,5,1,2,24,52,10.76,Unemployed,Education,Own,Joint,1
APP-000058,CUST-000058,2025-03-10 15:34:02.318184,45571.76,62473.49,0.31,1163.82,732.58,5,4,2,0,65,42,14.61,Unemployed,Business,Own,Joint,0
APP-000059,CUST-000059,2025-02-12 15:34:02.318201,37953.42,49329.91,0.44,3437.15,518.58,8,2,0,1,3,28,9.44,Retired,Business,Rent,Joint,1
APP-000060,CUST-000060,2024-10-17 15:34:02.318228,6308.96,50396.85,0.11,4444.33,608.77,9,1,0,2,210,41,13.91,Unemployed,Education,Own,Individual,1
APP-000061,CUST-000061,2025-04-06 15:34:02.318241,15913.86,84041.2,0.15,4458.84,374.62,7,2,3,2,190,58,4.85,Retired,Debt consolidation,Other,Joint,1
APP-000062,CUST-000062,2024-12-03 15:34:02.318253,2603.1,68168.89,0.32,4762.66,770.5,1,5,2,2,230,53,7.3,Retired,Business,Mortgage,Individual,1
APP-000063,CUST-000063,2024-09-05 15:34:02.318274,5492.0,47573.76,0.42,4861.25,327.82,5,1,1,2,52,16,12.96,Self-employed,Other,Mortgage,Individual,1
APP-000064,CUST-000064,2025-02-09 15:34:02.318287,39643.54,97477.61,0.24,4923.34,843.14,8,2,1,0,169,13,4.58,Unemployed,Home improvement,Rent,Individual,1
APP-000065,CUST-000065,2025-03-30 15:34:02.318300,7211.17,74724.87,0.16,505.08,546.55,5,4,0,1,128,26,14.34,Employed,Other,Rent,Joint,1
APP-000066,CUST-000066,2025-04-10 15:34:02.318312,3980.44,82267.65,0.3,3493.27,569.65,7,0,0,1,155,21,3.79,Unemployed,Other,Rent,Joint,0
APP-000067,CUST-000067,2024-07-28 15:34:02.318338,15449.99,85721.64,0.32,4006.86,362.93,10,5,1,1,115,26,7.97,Retired,Education,Other,Individual,1
APP-000068,CUST-000068,2024-11-16 15:34:02.318353,33590.29,68659.13,0.18,4630.33,336.92,1,0,3,0,190,59,7.47,Self-employed,Other,Own,Joint,1
APP-000069,CUST-000069,2024-09-27 15:34:02.318366,18326.31,106494.27,0.48,4366.84,696.58,4,4,2,1,26,48,9.09,Self-employed,Education,Mortgage,Individual,1
APP-000070,CUST-000070,2024-07-15 15:34:02.318379,19010.49,119138.73,0.39,4074.66,764.84,9,4,0,2,237,54,12.95,Unemployed,Debt consolidation,Mortgage,Joint,1
APP-000071,CUST-000071,2024-11-18 15:34:02.318392,46155.34,65633.04,0.19,887.61,661.54,1,1,0,0,191,45,5.58,Retired,Education,Rent,Individual,1
APP-000072,CUST-000072,2024-11-10 15:34:02.318404,39064.95,93787.16,0.14,452.52,386.58,9,0,0,1,113,54,8.09,Retired,Education,Rent,Individual,0
APP-000073,CUST-000073,2025-02-26 15:34:02.318416,17913.47,34415.67,0.44,3047.04,589.81,4,0,1,1,153,15,3.09,Unemployed,Home improvement,Mortgage,Joint,1
APP-000074,CUST-000074,2025-02-23 15:34:02.318429,1378.77,117111.84,0.19,2025.0,687.02,8,4,2,0,101,59,3.51,Employed,Education,Own,Joint,1
APP-000075,CUST-000075,2024-07-06 15:34:02.318441,20816.72,103218.42,0.24,2144.16,831.41,2,4,3,2,235,35,4.06,Employed,Home improvement,Other,Joint,1
APP-000076,CUST-000076,2024-10-05 15:34:02.318454,43655.7,116954.63,0.21,3939.77,342.01,10,0,1,1,89,58,14.5,Self-employed,Home improvement,Own,Individual,1
APP-000077,CUST-000077,2025-01-27 15:34:02.318475,30517.55,118827.99,0.43,1050.3,725.07,7,3,3,2,236,48,10.72,Unemployed,Business,Mortgage,Joint,1
APP-000078,CUST-000078,2024-09-11 15:34:02.318498,31937.87,123522.86,0.4,1889.32,340.8,7,3,0,0,94,30,3.92,Employed,Other,Other,Joint,1
APP-000079,CUST-000079,2025-04-04 15:34:02.318512,23036.95,125276.07,0.43,1743.33,561.6,2,0,3,0,207,33,14.79,Employed,Other,Mortgage,Individual,1
APP-000080,CUST-000080,2024-09-13 15:34:02.318525,49558.32,88128.91,0.4,1946.71,804.87,6,3,2,2,153,15,12.47,Unemployed,Debt consolidation,Rent,Individual,1
APP-000081,CUST-000081,2024-10-10 15:34:02.318538,14923.2,114085.38,0.43,4550.44,780.3,5,0,1,1,79,53,11.38,Retired,Home improvement,Own,Joint,1
APP-000082,CUST-000082,2024-05-31 15:34:02.318551,39791.44,125714.02,0.44,4179.0,706.33,10,4,0,2,171,39,9.1,Employed,Business,Rent,Individual,1
APP-000083,CUST-000083,2024-11-02 15:34:02.318563,47435.75,83215.22,0.21,860.31,342.44,1,4,0,2,86,51,4.57,Retired,Home improvement,Mortgage,Individual,1
APP-000084,CUST-000084,2024-06-10 15:34:02.318576,40643.14,41520.09,0.32,2172.12,672.0,3,3,2,2,200,40,5.81,Self-employed,Business,Other,Individual,1
APP-000085,CUST-000085,2024-07-07 15:34:02.318588,49237.55,80018.4,0.24,2032.99,590.1,2,1,1,1,13,53,8.77,Unemployed,Other,Own,Individual,1
APP-000086,CUST-000086,2025-02-02 15:34:02.318600,14366.77,137689.81,0.17,2299.87,820.53,3,3,2,0,106,15,7.76,Unemployed,Home improvement,Other,Individual,1
APP-000087,CUST-000087,2025-04-11 15:34:02.318612,16615.56,32880.81,0.46,1809.39,380.33,0,2,3,2,212,20,12.11,Retired,Education,Own,Individual,1
APP-000088,CUST-000088,2025-01-05 15:34:02.318624,41913.19,91344.55,0.46,2733.3,361.15,4,1,2,0,12,27,8.04,Retired,Debt consolidation,Own,Joint,1
APP-000089,CUST-000089,2025-04-17 15:34:02.318637,31965.79,94756.17,0.46,1598.11,300.86,5,1,3,0,170,54,4.03,Unemployed,Debt consolidation,Own,Joint,1
APP-000090,CUST-000090,2025-04-03 15:34:02.318649,32147.87,147535.12,0.23,277.96,733.69,5,1,0,2,188,60,6.99,Employed,Business,Rent,Individual,0
APP-000091,CUST-000091,2024-05-10 15:34:02.318662,23766.52,110400.6,0.42,4095.19,334.71,7,0,2,0,11,24,13.63,Unemployed,Business,Other,Joint,1
APP-000092,CUST-000092,2024-05-29 15:34:02.318674,10364.07,66406.64,0.49,4355.83,482.56,1,2,3,1,190,40,13.74,Retired,Business,Mortgage,Joint,1
APP-000093,CUST-000093,2024-10-19 15:34:02.318686,46291.21,87505.86,0.5,3689.99,343.41,9,1,2,1,26,17,6.94,Unemployed,Business,Other,Joint,1
APP-000094,CUST-000094,2024-09-10 15:34:02.318699,18225.8,25506.17,0.54,1892.28,848.98,4,5,0,0,171,52,7.87,Self-employed,Debt consolidation,Mortgage,Joint,1
APP-000095,CUST-000095,2025-03-22 15:34:02.318712,12563.77,103871.17,0.28,4757.44,317.81,2,5,3,1,95,40,12.16,Self-employed,Other,Rent,Joint,1
APP-000096,CUST-000096,2024-12-04 15:34:02.318724,13230.97,34748.32,0.47,2595.41,512.84,8,0,2,1,180,40,5.57,Unemployed,Education,Mortgage,Individual,1
APP-000097,CUST-000097,2025-03-19 15:34:02.318737,23150.09,136828.27,0.32,621.4,675.06,5,5,2,2,16,47,9.51,Unemployed,Home improvement,Mortgage,Joint,1
APP-000098,CUST-000098,2025-02-22 15:34:02.318751,49271.49,122968.54,0.22,2571.31,498.49,9,2,3,2,33,51,13.61,Employed,Business,Other,Joint,1
APP-000099,CUST-000099,2024-09-28 15:34:02.318764,41343.63,29587.59,0.59,3283.23,547.49,10,4,2,0,224,47,10.68,Self-employed,Home improvement,Other,Individual,1
APP-000100,CUST-000100,2024-08-03 15:34:02.318777,8497.76,41405.42,0.26,3604.79,490.31,8,2,0,1,50,52,14.48,Unemployed,Home improvement,Rent,Individual,1
APP-000101,CUST-000101,2025-01-29 15:34:02.318789,29998.61,95484.05,0.19,3197.5,796.1,5,4,0,0,20,14,14.38,Unemployed,Home improvement,Other,Individual,1
APP-000102,CUST-000102,2024-06-08 15:34:02.318802,27733.3,103447.95,0.25,1375.41,744.04,6,2,3,0,176,15,4.9,Retired,Education,Other,Individual,1
APP-000103,CUST-000103,2025-02-11 15:34:02.318818,16316.54,113387.18,0.47,4331.73,836.46,2,2,0,1,61,41,4.47,Retired,Home improvement,Mortgage,Individual,1
APP-000104,CUST-000104,2024-10-11 15:34:02.318831,43344.03,74357.52,0.58,4531.09,747.41,9,5,2,0,195,22,8.98,Retired,Education,Rent,Joint,1
APP-000105,CUST-000105,2024-10-06 15:34:02.318843,25766.78,145669.26,0.21,1893.9,327.8,7,4,3,1,137,12,13.17,Retired,Home improvement,Rent,Joint,1
APP-000106,CUST-000106,2024-10-20 15:34:02.318865,3216.88,26650.5,0.38,1940.11,458.73,6,4,3,2,71,51,11.16,Employed,Home improvement,Own,Joint,1
APP-000107,CUST-000107,2024-11-03 15:34:02.318880,28333.76,67528.83,0.17,3091.82,520.76,0,0,0,0,182,33,12.65,Retired,Home improvement,Mortgage,Joint,0
APP-000108,CUST-000108,2024-11-13 15:34:02.318893,8962.6,148780.05,0.47,1636.32,485.01,8,4,3,2,144,31,8.7,Employed,Business,Rent,Individual,1
APP-000109,CUST-000109,2024-07-01 15:34:02.318906,16076.21,136839.72,0.54,3220.45,628.3,4,5,1,2,13,49,8.77,Retired,Home improvement,Mortgage,Individual,1
APP-000110,CUST-000110,2024-05-02 15:34:02.318918,6384.88,22461.86,0.26,926.87,679.78,6,4,3,2,186,15,11.47,Self-employed,Other,Rent,Joint,1
APP-000111,CUST-000111,2024-11-16 15:34:02.318931,47877.59,79756.26,0.37,2822.11,671.73,10,5,2,2,123,24,14.49,Unemployed,Other,Rent,Individual,1
APP-000112,CUST-000112,2024-11-24 15:34:02.318944,38787.54,111637.12,0.45,2547.21,563.89,8,5,2,1,31,48,11.12,Retired,Education,Rent,Individual,1
APP-000113,CUST-000113,2024-11-29 15:34:02.318956,47810.37,30273.83,0.56,3348.67,711.04,3,1,2,2,178,29,4.65,Self-employed,Home improvement,Own,Individual,1
APP-000114,CUST-000114,2025-03-30 15:34:02.318968,5909.7,62938.17,0.34,3469.72,375.61,8,1,3,2,239,42,8.73,Self-employed,Business,Rent,Joint,1
APP-000115,CUST-000115,2025-03-11 15:34:02.318980,32962.64,50188.63,0.47,4281.6,320.51,2,3,1,0,214,37,12.46,Self-employed,Business,Own,Individual,1
APP-000116,CUST-000116,2024-06-21 15:34:02.318993,6257.73,147789.21,0.24,4947.68,598.82,7,1,3,1,49,19,6.97,Retired,Business,Mortgage,Individual,1
APP-000117,CUST-000117,2024-11-25 15:34:02.319006,28821.28,118446.76,0.19,4309.5,793.37,6,4,2,0,102,54,4.14,Self-employed,Education,Rent,Individual,1
APP-000118,CUST-000118,2024-10-11 15:34:02.319018,12540.54,117988.36,0.58,1649.34,697.59,0,2,2,2,60,15,11.01,Retired,Business,Mortgage,Joint,1
APP-000119,CUST-000119,2024-04-30 15:34:02.319030,38722.21,109737.75,0.42,4715.05,502.15,3,1,1,1,39,41,11.97,Unemployed,Education,Other,Individual,1
APP-000120,CUST-000120,2024-05-12 15:34:02.319043,37982.24,133507.56,0.14,2344.39,687.07,1,4,0,0,212,47,13.83,Self-employed,Other,Mortgage,Individual,1
APP-000121,CUST-000121,2024-08-02 15:34:02.319055,22650.19,108438.38,0.46,2546.37,794.39,7,0,3,0,131,38,8.48,Employed,Other,Other,Joint,0
APP-000122,CUST-000122,2024-10-05 15:34:02.319072,13468.4,20392.01,0.21,550.54,533.03,1,4,0,0,239,42,3.38,Retired,Home improvement,Mortgage,Joint,1
APP-000123,CUST-000123,2024-10-12 15:34:02.319085,22978.32,139224.96,0.29,585.2,830.28,8,1,2,0,45,46,7.72,Self-employed,Home improvement,Own,Individual,0
APP-000124,CUST-000124,2024-08-31 15:34:02.319097,34001.49,90777.89,0.37,4152.13,436.13,5,1,2,0,239,58,12.19,Employed,Education,Own,Individual,1
APP-000125,CUST-000125,2025-03-05 15:34:02.319109,30103.26,78037.34,0.44,4386.62,434.6,0,3,3,0,138,25,12.05,Employed,Home improvement,Rent,Individual,1
APP-000126,CUST-000126,2024-07-05 15:34:02.319121,16626.28,97729.3,0.44,1739.19,465.97,2,5,1,1,76,29,3.73,Self-employed,Education,Other,Individual,1
APP-000127,CUST-000127,2024-05-31 15:34:02.319134,33895.78,122154.6,0.26,2198.36,382.07,6,1,3,0,217,26,6.61,Self-employed,Education,Own,Joint,0
APP-000128,CUST-000128,2024-07-14 15:34:02.319146,26969.6,70494.48,0.23,1785.26,343.49,7,2,0,2,185,24,3.62,Retired,Other,Own,Individual,1
APP-000129,CUST-000129,2024-06-29 15:34:02.319159,36490.96,92650.56,0.34,4373.47,483.13,0,1,1,2,30,59,14.99,Retired,Home improvement,Mortgage,Joint,1
APP-000130,CUST-000130,2024-07-17 15:34:02.319171,16759.14,56797.7,0.33,3313.86,469.63,5,4,3,1,25,58,8.63,Unemployed,Home improvement,Rent,Joint,1
APP-000131,CUST-000131,2024-07-11 15:34:02.319184,43340.16,116362.81,0.11,2855.9,621.22,6,2,1,0,84,26,7.56,Self-employed,Education,Rent,Joint,0
APP-000132,CUST-000132,2024-08-18 15:34:02.319196,48358.91,103420.28,0.35,1007.52,737.24,2,1,3,0,234,46,14.88,Employed,Other,Own,Individual,0
APP-000133,CUST-000133,2024-05-18 15:34:02.319209,3377.21,20829.9,0.17,3227.37,337.38,2,0,1,2,116,35,3.73,Retired,Education,Own,Individual,1
APP-000134,CUST-000134,2024-09-27 15:34:02.319221,1580.7,88824.29,0.24,4891.9,309.43,10,3,1,0,235,18,9.29,Self-employed,Home improvement,Rent,Joint,1
APP-000135,CUST-000135,2024-10-04 15:34:02.319233,4871.94,144708.71,0.33,1367.4,683.48,4,5,0,2,219,53,12.12,Employed,Education,Other,Joint,1
APP-000136,CUST-000136,2025-03-28 15:34:02.319245,32200.66,111369.87,0.14,4257.58,654.7,5,4,0,2,235,14,5.76,Retired,Business,Own,Individual,1
APP-000137,CUST-000137,2024-12-03 15:34:02.319258,45066.27,93256.28,0.12,4658.08,472.97,3,4,1,2,210,37,14.15,Unemployed,Home improvement,Mortgage,Joint,1
APP-000138,CUST-000138,2024-07-23 15:34:02.319270,17254.76,118229.2,0.17,4944.69,698.29,8,5,2,0,25,39,5.79,Employed,Business,Other,Joint,1
APP-000139,CUST-000139,2024-12-07 15:34:02.319287,39393.86,78571.53,0.21,2854.58,506.48,2,5,3,0,197,51,6.54,Self-employed,Debt consolidation,Own,Joint,1
APP-000140,CUST-000140,2024-04-26 15:34:02.319308,39410.62,40056.0,0.29,1931.36,350.34,4,3,2,1,26,20,4.05,Retired,Education,Other,Individual,1
APP-000141,CUST-000141,2024-10-26 15:34:02.319346,28156.77,97600.19,0.49,4345.85,306.79,6,3,0,2,230,47,13.86,Self-employed,Other,Mortgage,Joint,1
APP-000142,CUST-000142,2024-12-09 15:34:02.319370,15755.43,84106.11,0.13,2286.45,531.61,7,0,2,1,63,58,10.5,Self-employed,Education,Own,Individual,1
APP-000143,CUST-000143,2024-10-05 15:34:02.319393,17278.64,100624.98,0.5,1781.8,484.1,10,4,1,1,82,50,14.37,Self-employed,Education,Rent,Individual,1
APP-000144,CUST-000144,2024-11-13 15:34:02.319417,15280.96,110344.51,0.35,2964.22,433.33,6,2,3,1,29,48,5.4,Self-employed,Other,Own,Joint,1
APP-000145,CUST-000145,2025-01-08 15:34:02.319435,22484.29,57873.06,0.45,4131.03,737.61,6,5,3,0,162,31,5.9,Self-employed,Education,Other,Individual,1
APP-000146,CUST-000146,2024-06-23 15:34:02.319448,24482.5,72104.66,0.35,4617.88,680.44,8,0,2,2,229,46,10.13,Employed,Debt consolidation,Mortgage,Joint,1
APP-000147,CUST-000147,2024-06-16 15:34:02.319467,3170.54,147869.07,0.44,2118.17,713.98,6,0,0,0,66,26,9.13,Self-employed,Education,Rent,Joint,0
APP-000148,CUST-000148,2024-05-13 15:34:02.319487,29840.91,85060.55,0.27,317.9,357.5,6,0,0,2,36,34,6.74,Retired,Home improvement,Other,Joint,1
APP-000149,CUST-000149,2024-09-13 15:34:02.319508,36377.7,78818.14,0.13,414.48,690.93,0,2,0,2,204,22,14.16,Self-employed,Other,Mortgage,Individual,1
APP-000150,CUST-000150,2024-09-19 15:34:02.319520,47964.67,50141.22,0.3,1085.37,652.26,6,3,0,2,157,24,8.39,Retired,Education,Own,Individual,1
APP-000151,CUST-000151,2024-04-30 15:34:02.319533,40627.76,28133.29,0.15,4385.5,402.83,5,1,3,0,67,54,13.35,Unemployed,Other,Other,Joint,1
APP-000152,CUST-000152,2024-10-29 15:34:02.319545,18247.26,79521.88,0.19,3433.23,740.34,9,4,0,2,34,32,4.41,Unemployed,Debt consolidation,Mortgage,Joint,1
APP-000153,CUST-000153,2024-08-07 15:34:02.319567,20034.7,97535.36,0.39,2230.59,567.67,8,5,1,2,42,43,6.47,Self-employed,Business,Other,Individual,1
APP-000154,CUST-000154,2025-04-21 15:34:02.319593,24745.84,45366.7,0.29,2895.59,659.19,6,5,3,1,181,40,8.86,Employed,Other,Own,Individual,1
APP-000155,CUST-000155,2024-12-06 15:34:02.319614,12017.33,57527.14,0.49,2915.12,724.9,7,4,0,2,29,29,12.3,Unemployed,Other,Own,Joint,1
APP-000156,CUST-000156,2024-09-20 15:34:02.319636,6018.41,127909.19,0.48,1629.0,849.62,7,2,2,0,112,19,12.31,Self-employed,Home improvement,Rent,Joint,1
